soc_code,title,cluster,description,tasks,skills,knowledge,abilities,work_activities,education_level,experience_level,job_training,median_salary,salary_range,employment_outlook,growth_rate,related_occupations,work_environment,interests,work_styles,technology_skills,url,last_updated
15-1252.00,Software Developers,Computer and Mathematical,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",,,"Computers and Electronics— Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.Related occupations; Customer and Personal Service— Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.Related occupations; Mathematics— Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.Related occupations; English Language— Knowledge of the structure and content of the English language including the meaning and spelling of words, and rules of composition and grammar.Related occupations",,,Education,Experience Requirements,Training & Credentials,133080,,Bright Outlook,95%,,,"Investigative— Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations; Conventional— Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations; Realistic— Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations",,,https://www.onetonline.org/link/summary/15-1252.00,2025-09-08
15-1251.00,Computer Programmers,Computer and Mathematical,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",,,,,,Education,Experience Requirements,Training & Credentials,98670,,Bright Outlook,100%,,,"Conventional— Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations; Investigative— Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations","Achievement— Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.Related occupations; Working Conditions— Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.Related occupations; Independence— Occupations that satisfy this work value allow employees to work on their own and make decisions. Corresponding needs are Creativity, Responsibility and Autonomy.Related occupations",,https://www.onetonline.org/link/summary/15-1251.00,2025-09-08
15-1253.00,Software Quality Assurance Analysts and Testers,Computer and Mathematical,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",,,"Computers and Electronics— Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.Related occupations; English Language— Knowledge of the structure and content of the English language including the meaning and spelling of words, and rules of composition and grammar.Related occupations; Engineering and Technology— Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.Related occupations; Mathematics— Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.Related occupations; Design— Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.Related occupations",,,Education,Experience Requirements,Training & Credentials,102610,,Bright Outlook,100%,,,"Investigative— Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations; Conventional— Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations; Realistic— Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations","Achievement— Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.Related occupations; Working Conditions— Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.Related occupations; Independence— Occupations that satisfy this work value allow employees to work on their own and make decisions. Corresponding needs are Creativity, Responsibility and Autonomy.Related occupations",,https://www.onetonline.org/link/summary/15-1253.00,2025-09-08
15-1211.00,Computer Systems Analysts,Computer and Mathematical,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",,,,,,Education,Experience Requirements,Training & Credentials,103790,,Bright Outlook,100%,,,"Investigative— Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations; Conventional— Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations","Working Conditions— Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.Related occupations; Achievement— Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.Related occupations; Independence— Occupations that satisfy this work value allow employees to work on their own and make decisions. Corresponding needs are Creativity, Responsibility and Autonomy.Related occupations",,https://www.onetonline.org/link/summary/15-1211.00,2025-09-08
15-1299.08,Computer Systems Engineers/Architects,Computer and Mathematical,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.",,,,,,Education,Experience Requirements,Training & Credentials,108970,,Bright Outlook,91%,,,"Investigative— Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations; Conventional— Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations; Realistic— Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations","Achievement— Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.Related occupations; Independence— Occupations that satisfy this work value allow employees to work on their own and make decisions. Corresponding needs are Creativity, Responsibility and Autonomy.Related occupations; Recognition— Occupations that satisfy this work value offer advancement, potential for leadership, and are often considered prestigious. Corresponding needs are Advancement, Authority, Recognition and Social Status.Related occupations",,https://www.onetonline.org/link/summary/15-1299.08,2025-09-08
15-1255.00,Web and Digital Interface Designers,Computer and Mathematical,"A subset of this occupation's profile is available. Data collection is currently underway to populate other parts of the profile. For more specific occupations, see:",,,,,,Education,Experience Requirements,Training & Credentials,98090,,Bright Outlook,6%,,,"Investigative— Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations; Artistic— Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.Related occupations; Conventional— Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations",,,https://www.onetonline.org/link/summary/15-1255.00,2025-09-08
15-1254.00,Web Developers,Computer and Mathematical,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.",,,"Computers and Electronics— Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.Related occupations; English Language— Knowledge of the structure and content of the English language including the meaning and spelling of words, and rules of composition and grammar.Related occupations; Mathematics— Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.Related occupations; Communications and Media— Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.Related occupations",,,Education,Experience Requirements,Training & Credentials,90930,,Bright Outlook,92%,,,"Conventional— Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations; Investigative— Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations","Independence— Occupations that satisfy this work value allow employees to work on their own and make decisions. Corresponding needs are Creativity, Responsibility and Autonomy.Related occupations; Working Conditions— Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.Related occupations; Achievement— Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.Related occupations",,https://www.onetonline.org/link/summary/15-1254.00,2025-09-08
15-1243.00,Database Architects,Computer and Mathematical,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.",,,"Computers and Electronics— Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.Related occupations; Engineering and Technology— Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.Related occupations; Design— Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.Related occupations; Mathematics— Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.Related occupations; English Language— Knowledge of the structure and content of the English language including the meaning and spelling of words, and rules of composition and grammar.Related occupations",,,Education,Experience Requirements,Training & Credentials,135980,,Bright Outlook,95%,,,"Conventional— Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations; Investigative— Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations","Achievement— Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.Related occupations; Working Conditions— Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.Related occupations; Independence— Occupations that satisfy this work value allow employees to work on their own and make decisions. Corresponding needs are Creativity, Responsibility and Autonomy.Related occupations",,https://www.onetonline.org/link/summary/15-1243.00,2025-09-08
15-2051.00,Data Scientists,Computer and Mathematical,"A subset of this occupation's profile is available. Data collection is currently underway to populate other parts of the profile. For more specific occupations, see:",,,,,,Education,Experience Requirements,Training & Credentials,112590,,Bright Outlook,9%,,,"Investigative— Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations; Conventional— Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations",,,https://www.onetonline.org/link/summary/15-2051.00,2025-09-08
15-1232.00,Computer User Support Specialists,Computer and Mathematical,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.",,,,,,Education,Experience Requirements,Training & Credentials,60340,,Bright Outlook,100%,,,"Conventional— Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations; Realistic— Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations; Investigative— Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations","Relationships— Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.Related occupations; Working Conditions— Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.Related occupations; Achievement— Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.Related occupations",,https://www.onetonline.org/link/summary/15-1232.00,2025-09-08
